标题,详情页链接,时间,正文
达安科普:疫情防控新“标签”，新冠核酸快速检测充当“守护者”,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7032988744118436363%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7eda150f3b34ed5c6e3adf2c1f91fb095fcf2667c7240642ca4e60eeb35ac3c9bc724292254c666651e00522f099c098f,2021/11/21,"今年万圣节，上海迪士尼乐园和迪士尼小镇烟花下的检测登上了热搜。
而前一周，河南郑州银基冰雪世界度假区紧急排查成都万人排查存在时空伴随风险，因此人与人之间多出了近一层关系时空伴随者。
而增添的这份浪漫的新标签，是指本人的电话号码与确诊号码在同一时空网格，共同停留超过分钟，且最近天任一方号码累计停留时长超过小时以上，查出的号码为时空伴随号码。
也就是说，我们可能根本就没和确诊者碰过面，但依然有可能被感染。

面对狡猾的新冠病毒与更加强化的人群筛查，我们要如何做到常态化应对让新冠核酸快速检测筛查信息跑得更快更准点呢？
当有暴露风险时，主动进行新冠核酸快速检测是金方法！新冠核酸快速检测作为诊断新冠患者的金标准是疫情防控的关键。只有实现新冠核酸快速检测全覆盖，才能让我们的标签更准确，筛查更迅速。
新冠核酸快速检测全流程每个环节都需要严谨对待，才能够让我们的标签更准确。那如何进行有效的新冠核酸快速检测呢？
结合科学精准的快速检测技术，来早发现早报告早隔离早治疗，进行感染源头有效控制
在新冠核酸快速检测核酸采样阶段，采用添加胍盐的病毒保存液提高病毒灭活效率且阻止新冠核酸快速检测操作员二次感染防止活性病毒外溢造成环境污染。
在新冠核酸快速检测样本预处理环节，检验人员做好防护措施，尽量采用高自动化的设备进行检测，防止操作过程中可能产生的生物污染。
在新冠核酸快速检测核酸提取环节，要精准提取核酸，避免漏检等情况的出现，防止潜在风险外溢。
在新冠核酸快速检测核酸扩增环节，实行闭环管理，保证标本的及时检测，采用全自核酸提取仪与扩增检测分析仪，在保证检测质量的前提下，发挥新冠核酸快速检测仪器设备最大效能。

目前新冠核酸快速检测全流程已经实现了高度自动化，高自动化的设备能够在保护检验人员的同时，提高新冠核酸快速检测效率。


疫情仍未结束，我们随时都有可能被贴上新标签，新冠核酸快速检测是发现新冠病毒感染者的关键技术手段，结合人防技防用最快速度阻断了新冠病毒传播，防控疫情反弹。"
这个考试，须提供48小时内核酸证明,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7032865020069298721%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e703a3a86326b96d85f9c014826e8eec759716ee55332799f143032b32fab895c50bd2140887c204771a85a7a74096785d,2021/11/21,"年我省美术类专业课统考播音编导类专业基础课统考将于年月日举行。月日记者获悉，为保障广大考生的生命安全和身体健康，省教育考试院发出年我省艺术类专业课统考疫情防控要求提示，提醒在外省的考生应不迟于考前天返回我省。参加考试时须提供小时内核酸检测阴性证明。

记者了解到，根据陕西省应对新型冠状病毒感染肺炎疫情工作领导小组办公室关于做好年陕西省普通高校招生艺术类专业课统考疫情防控工作的建议省教育考试院发出的疫情防控提示中明确，鉴于当前疫情形势严峻，为防止滞留省外耽误考试，在外省的考生，应不迟于考前天返回我省，其间注意做好个人防护。


考生须从考前日年月日开始，做好每日体温测量记录并进行健康状况监测，如实填写年陕西省艺术类专业课统考考生健康状况登记卡。出现异常情况的，要及时报告学校或县区招办，并及时进行诊疗和排查。


考生须至少于年月日前申领陕西健康码西安一码通和通信大数据行程卡。参加考试时须提供小时内核酸检测阴性证明。

核酸检测结果为阳性者或在隔离治疗期间的新冠肺炎确诊病例和无症状感染者，以及近日内有省外例及以上本土新冠感染者所在县及中高风险地区所在县旅居史的考生，不得参加考试。


对于考前日内有中高风险地区及例以上本土病例所在设区市不含所在中高风险及例以上本土病例所在县旅居史的考生，应主动向属地疫情防控指挥部和考点报告，提供考试前小时核酸检测阴性证明，并配合相关部门进行综合研判和处理。


口岸入境进陕考生，需隔离观察满天，持陕西健康码或西安一码通绿码和小时内核酸检测阴性证明解除集中医学隔离证明解除居家隔离证明，方可参加考试。


考前考生出行要做好自我防护，不出入人员密集场所。


进入考点考场，考生应携带本人手机并至少于考试开始前小时到达考点，进入考点时查验小时内核酸检测阴性证明纸质版电子版均可陕西健康码或西安一码通和通信大数据行程卡，自觉接受体温检测并出示年陕西省艺术类专业课统考考生健康状况登记卡在首场考试进入考场后交给监考员，进入考点排队时要保持米以上安全距离。


考生进入考场前须将手机关机交给监考员统一保管，考试期间仍携带或使用手机等违禁物品的，一律按照考试作弊处理，涉嫌犯罪的移交司法机关处理。


在考试前解除隔离或新冠肺炎治愈出院不满日和考前日内有发热咳嗽流涕咽痛等症状的考生，应主动向考点报告，并配合相关部门进行综合研判和处理。


考生须自备一次性医用口罩或医用外科口罩，在考试过程中须全程有效佩戴口罩，身份核查时须取下口罩主动配合。


考试过程中发现有发热咳嗽流涕咽痛等症状的考生，应立即告知考试工作人员，并配合相关部门进行综合研判和处理。

省教育考试院提醒考生


考试疫情防控要求将根据疫情防控形势调整，请考生关注陕西省教育考试院官方网站陕西招生考试信息网和微信公众号陕西考试招生，及时了解有关信息。


文西安报业全媒体记者任娜
图
编辑安之
"
“医”:冬奥村固定检测点每天提供核酸检测服务,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7032922437100503588%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e76e4f1fcb0f3cc1050e66dc458ffe634dab6a69373d23548205062373673696f76007ea419a2d016ab35ec8f1f3c2eaae,2021/11/21,"疫情防控是冬奥会成功举办的关键。月日，北京冬奥村冬残奥村组织村内全部工作人员，及月至日期间北京村范围内的所有施工人员保安物业合同商服务商餐厅员工等所有类型人员集中进行核酸检测。参与运行测试人员需提供小时以内核酸检测阴性证明且天内未到访过中高风险地区，严守疫情防控的底线。
北京冬奥村冬残奥村公共卫生经理郑阳介绍，村内设置了固定核酸检测点，可以每天为居民提供核酸检测服务，从一早就开始一直工作到运动员训练结束后，可以满足大家的监测需求。
北青北京头条记者在现场看到，固定核酸检测口设置了个采样窗口，现场没有排队的情况，可以随时为前来测试的人员提供核酸采样服务。
除了疫情防控，在赛时阶段，村内也设置了诊所随时为居民提供医疗服务，诊所设置个科室，可以满足居民的基本医疗需求。
文北青北京头条记者刘洋
摄影北青北京头条记者崔峻
来源北京头条客户端"
核酸检测结果查询方法及时间在这里,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7032102645301101092%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e78a8d4ac39b235f818020fa806413165e13de9c15e82be4a57eeb142c382697beb473ce97e0963820514b34b7e3c8c10f,2021/11/19,"近日网友四分卫问政
核酸检测报告要多久才能出来医院提供纸质的报告吗
大庆市人民医院妇女儿童医院回复如下
网友您好！核酸检测结果查询方法及时间如下。
方式一小时后在微信搜索公众号大庆市人民医院患者服务平台点击检验报告查询电子版报告。
方法二小时后持身份证或取单凭证在门急诊自助打印机或总服务台打印纸质报告。
方法三小时小时在国务院客户端微信小程序或支付宝查询电子版报告。
祝您健康"
群众就近核酸检测采样，济宁一部手机就搞定,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7033001188421435918%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e731d7b4e2563320afabfedb998e8f0cc74036d3351ad0fcf57cc462a9da4ae64e14dc2abfa7dbdcdd56bfd4b1f06122c5,2021/11/21,"齐鲁晚报齐鲁壹点记者郭纪轩通讯员孔晓
日前，济宁在全省率先上线核酸检测采样点专项地图，济宁户籍居民及常住居民外地返济来济人员均可使用高德百度腾讯地图搜索距离最近的核酸检测采样点，并且显示采样点服务时间预约电话等信息，进一步方便群众就近进行核酸检测采样。
就近核酸采样
动动手指就办到
月日中午，来济宁出差的陈先生因需要紧急做一次核酸检测，在得知高德百度腾讯地图上线了济宁核酸检测采样点地图，搜索核酸检测就能查到最近的采样点后，陈先生表示，没想到能在手机地图上搜索到距离最近的采样点，这对于像我们这样来济宁出差的人来说非常实用，采样点直接标注到地图上更直观更便利。
据了解，济宁市在公布核酸检测采样点后，着眼于数据赋能，不断创新突破，积极谋划在地图上增设核酸采样点。为把这项便民惠民服务工作办好办实，济宁市还结合党史学习教育，把制作采样点专项地图列为我为群众办实事实践活动，用心用情，全面提升群众满意度。
此前，济宁共设立个核酸检测采样服务点，其中家可提供小时采样服务。各县市区均编制了采样点布局图，细化到街道社区，利用电视广播公众号张贴公告等多种形式进行全方位立体化宣传。全市日核酸检测能力提升至万份，可确保一旦有需求，一个县市区两天内全市三天内可完成全员的核酸检测。
创新工作举措
做好全流程保障
为做好群众新冠病毒核酸检测工作，济宁市在全流程信息化管理物资储备和应急演练实验室安全管理等方面创新举措，抓好工作落实，不断强化保障能力。
济宁市率先研发核酸检测信息系统，实现健康通行码与核酸检测预登记信息融合互通，即完成预登记后直接扫绿码进行核酸采样。目前全市万人已完成核酸检测信息预登记，享受健康出行核酸采样一码通用的便利。济宁市卫生健康委相关负责人介绍。
针对新冠病毒核酸检测采送检动态匹配工作，对每个采样点每所检测机构设置不同的账号，确保实现核酸检测采送检报信息的快速准确和实时监测。
同时以宁可备而不用不可用而无备为原则，全市各采样机构按照不少于天满负荷需求，备足核酸检测所需物资设备人员等，保障核酸检测采样的高效运转。组织对采样人员转运人员核酸检测实验室人员等开展多轮次技术培训，实现了标本采集储存运输处理等核酸检测各个环节各类人员培训全覆盖，以此提高检测质量和效率。
为加强核酸检测实验室质量管理，济宁市还组织临床检验卫生监督执法专家，制定核酸检测质量控制和安全管理工作方案，对样本采样包装运输检测结果报告等关键环节实施全链条规范全流程管控。选派临床检验专家，一对一进驻检测机构，蹲点进行督质量督能力督进度督时效四督行动。组织全市核酸检测实验室积极开展室间质评，对质评有问题的实验室建立约谈机制，督促各检测机构落实主体责任，提高检测效率，保障质量安全。
找记者求报道求帮助，各大应用市场下载齐鲁壹点或搜索微信小程序壹点情报站，全省多位主流媒体记者在线等你来报料！"
新型核酸适配体-SERS检测方法可用于辐射损伤及炎症检测,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7033004445885596168%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73bfe75733767d470f5238d8ca90aaddaeac2b7d1e5df5868afe5d2bbb1273fe956cee84ba4d8fa5022d3029576685b07,2021/11/21,"近日，中科院合肥研究院智能所黄青研究员课题组开发了一种基于核酸适配体表面增强拉曼光谱的新型生物传感器，可以实现对细胞释放的外泌体中炎症标志物的检测。研究结果发表在应用生物研究领域的重要期刊上。
课题组研究人员制备了高灵敏度和高特异性的适配体功能化的磁性纳米粒子和金纳米粒子阵列，根据所获得的拉曼信号变化，可在动态范围内定量测定细胞外泌体中的，最低检测限可达。这种检测方法中，分子被修饰了适配体分子的磁性纳米粒子和金纳米粒子所捕获，形成磁性纳米颗粒和金纳米粒子的三明治复合物，通过外磁场提取出来后进行测量，可以得到很强的信号。此外，研究人员通过分析小鼠血清中提取的外泌体，检测辐射损伤和药物诱导的肝脏感染病例中的，证明了这种生物传感器的实用性。
检测示意图
该研究工作得到国家自然科学基金和中国政府资助外国留学生基金的支持。
来源合肥物质研究院
文章链接
https://pubs.acs.org/doi/10.1021/acsabm.1c00845"
最新!进返京须知!乘飞机、乘车如何检验核酸证明,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7031492894817157669%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e73f9f8d1029fe3ce85b4bc956aa12ecbad9e85ea60917f59ceb918eb067e956beb9d626a28cc56003517b0c5624b64eb5,2021/11/17,"来源央视财经
今日零时起，进出京管理的数条措施正式实施，并同步做好对进返京车辆人员的服务保障工作。
自日零时起，北京实施从严从紧进出京管理措施，人员进返京须持小时内核酸检测阴性证明和北京健康宝绿码。
其中，对小时内核酸检测阴性证明的形式没有要求，持纸质核酸检测阴性证明或电子核酸检测阴性证明均可。电子核酸检测阴性证明可以通过北京健康宝微信国务院客户端等进行查询。
首都机场核酸检测阴性证明的查验在出发地机场
央视财经正点财经栏目视频
各航空公司各机场对所有进京航班旅客，登机前严格测温查验北京健康宝，非绿码及有异常情况的旅客，一律劝阻登机。
首都机场提醒有进返京计划的旅客朋友们，核酸检测阴性证明的查验在远端，也就是出发地机场，所以旅客需在出发前准备好小时内核酸检测阴性证明和北京健康宝绿码，以免影响出行。
中国民用航空华北地区管理局副局长任超忠按照首都严格进京管理联防联控协调机制的相关要求，及时取消了发生本土疫情的相关地级市直达北京的航班，削减了出现中高风险地区省会城市至北京的航班，每天只保留班，并严格控制客座率不超过。
个北京地区车站进京旅客查验小时核酸阴性证明
中国铁路北京局从今天起对北京站北京南北京西北京北北京朝阳北京东顺义西怀柔南大兴机场清河八达岭等个北京地区车站，发站为京外的旅客，乘车进京前需要进行小时核酸阴性证明查验。
北京核酸检测阴性证明以检测报告中报告日期为准
按照现行的管控要求，人员进返京须持小时内核酸检测阴性证明和北京健康宝绿码，其中核酸检测阴性证明的起始时间，以检测报告中报告日期为准。
北京在进京检查站完成核酸采样后不必等结果
填写承诺书可进京
北京市公安局新闻发言人潘绪宏北京警方会同相关部门，在条进京高速临近北京的服务区，设置了核酸检测点。
此外，潘绪宏表示，为最大限度方便群众出行，在完成核酸采样后，不必在现场等候检测结果，但须填写进返京人员承诺书，登记本人姓名身份证号手机号码，以及在京工作单位和居住地等详细情况，经检查站查验后进京。
需要指出的是，被检测人员须承诺没有限制进京地区的旅居史，并严格遵守北京市疫情防控政策，提供虚假信息或违背上述承诺的，将承担相应法律责任。核酸采样将尽快送检，一旦出现阳性结果，疾控等部门将根据登记信息，第一时间采取应急措施，落位管控。"
出行必看!旅客核酸检测阴性证明查验要求明确了,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7031719901014426148%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7e4e07cb850373da1ac8c3add1b5347b45d91685704b22cfe762dd389245de18d01af6fae5f4747aa58b93f478fdd7afe,2021/11/18,"交通运输部明确旅客核酸检测阴性证明查验要求
第六版客运场站和交通运输工具防疫指南印发
为进一步做好交通运输疫情防控工作，结合疫情发展新形势新变化，交通运输部日前修订印发了客运场站和交通运输工具新冠肺炎疫情分区分级防控指南第六版。明确了道路水路客运旅客核酸检测阴性证明查验要求和涉疫地区进京道路客运管控举措，细化了客运场站临时留观区等重点场所和部位消毒通风要求。记者唐颖
道路客运
注
客运车辆起讫地和中途停靠客运站点所在地风险等级不一致的，按就高原则执行防疫要求。
入境人员转运的消毒通风运输组织等按高风险地区所在地市防疫要求执行。
原则上暂停进出中风险高风险地区所在县级行政区道路客运服务途经中风险高风险地区所在县级行政区的客运班线，严格执行点对点运输，不得在以上地区上下客严格包车备案管理，暂停受理始发终到或中途停靠中风险高风险地区所在县级行政区的包车备案业务中风险高风险地区所在地市其他县级行政区道路客运以及中风险高风险地区所在县级行政区县内道路客运均分别按中风险高风险地区所在地市防疫要求执行。
暂停有例及以上本土新冠病毒感染者的地市进京道路客运班线服务和进京包车备案业务，对其他地区乘坐进京道路客运班线的旅客，严格查验旅客北京健康宝。
城市公共汽电车
注原则上暂停中风险高风险地区所在城市跨城公交服务，并对途经中风险高风险地区的城市公交线路实施甩站运行。
城市轨道交通
注原则上对途经中风险高风险地区的城市轨道交通线路实施甩站运行。
出租汽车
水路客运
互联网租赁自行车
汽车租赁
来源央视新闻客户端"
17日起进返京须持48小时内核酸证明，这些问题请注意,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7030943220620067341%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e7ea1af7210249b0fdde1188777a83c14bf3c3a36a46393a708b7f6513a4b03146df81c315c9aebd5743b0c637aa599318,2021/11/16,"近期，北京市调整了进出京管理政策。月日零时起，关于从严从紧做好进出京管理的三条措施将实施，人员进返京须持小时内核酸检测阴性证明和北京健康宝绿码。日，首都严格进京管理联防联控协调机制针对公众关切的问题进行答复。
小时内核酸检测阴性证明的起止时间？
答乘坐飞机火车省际客运班线进返京人员，须持登机登车前小时内核酸检测阴性证明和北京健康宝绿码。自驾车进返京人员，须持抵京前小时内核酸检测阴性证明和北京健康宝绿码，前往进京检查站查验。
对小时内核酸检测阴性证明的形式有无要求？
答持纸质核酸检测阴性证明或电子核酸检测阴性证明均可。电子核酸检测阴性证明可以通过北京健康宝支付宝健康码微信国务院客户端等进行查询。
日内有例以上含例本土新冠病毒感染者所在县市区旗旅居史人员严格限制进返京中的日如何界定？
答拟进返京日期不含当日前日该县无新增本土新冠病毒感染者，即可持小时内核酸检测阴性证明和北京健康宝绿码进京。
北京有例以上病例的相关风险地区人员出京后是否可以正常返京？
答北京有例以上含例本土新冠病毒感染者所在区人员非必要不离京。已经离京的，可持小时内核酸检测阴性证明和北京健康宝绿码返京。
执行限制进返京管控措施的陆路边境口岸所在县市区旗包含哪些城市？
答对个省自治区个陆路边境口岸所在县市区旗执行限制进返京管控措施，具体是
吉林省县珲春市
黑龙江省县密山市虎林市绥芬河市东宁市饶河县同江市抚远市萝北县爱辉区逊克县
内蒙古自治区县满洲里市额尔古纳市新巴尔虎左旗二连浩特市东乌珠穆沁旗乌拉特中旗额济纳旗达尔罕茂明安联合旗阿尔山市
新疆自治区县巴里坤哈萨克自治县奇台县青河县福海县阿拉山口市霍尔果斯市察布查尔锡伯自治县塔城市吉木乃县乌恰县阿合奇县塔什库尔干塔吉克自治县
西藏自治区县吉隆县聂拉木县普兰县
云南省县江城哈尼族彝族自治县勐腊县勐海县耿马县瑞丽市腾冲市文山市马关县河口瑶族自治县金平县
广西自治区县东兴市凭祥市宁明县龙州县靖西市那坡县。
链接关于从严从紧做好进出京管理有关措施
一是人员进返京须持小时内核酸检测阴性证明和北京健康宝绿码，日内有例以上含例本土新冠病毒感染者所在县市区旗旅居史人员严格限制进返京。民航铁路公路将加强远端登机登车和进京检查站查验。环京地区通勤人员，在该措施执行后首次进返京须持小时内核酸检测阴性证明，此后每次进返京持日内核酸检测阴性证明即可。请有进返京计划的朋友提前做好准备，合理安排行程，配合查验工作。
二是日内有陆路边境口岸所在县市区旗旅居史人员非必须不进返京。在京人员非必须不前往陆路边境口岸所在县市区旗。
三是严格控制在京举办全国性会议培训等活动。确需举办的，坚持谁举办谁负责谁审批谁负责，主办单位要切实履行疫情防控主体责任，制定专门防疫方案，严防涉疫风险人员参加，举办期间实行闭环管理，人员不得外出。承办活动的各类酒店宾馆，要严格落实扫码登记体温检测要求，不得接待涉疫风险人员。
以上措施，自月日零时起实施，并将根据疫情形势变化，进行动态评估适时调整。
来源人民日报客户端北京频道"
核酸检测从“啊”到出结果有几步?,https://so.toutiao.com/search/jump?url=http%3A%2F%2Fwww.toutiao.com%2Fa7031820104350450215%2F%3Fchannel%3D%26source%3Dsearch_tab&aid=4916&jtoken=e5cb68446a79ba5d6b844e3a2da048e76702896d3ee1dd18b24fcd837f725c8fc45409a4326c4e7487e56750d96f6126493ab10838d9d418c794858b64f2f977,2021/11/18,石家庄身边事文明鹿泉石家庄资讯
